,file_name,WasThereText?,IsThereGrey,SentenceWithGrey,IsThereUnpublished,SentenceWithUnpublished,IsThereNonTraditional,IsThereNonTraditionalLIT,GIST,
1,2018.0_Subjective well-being and academic achievement: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
2,2020.0_Self-determination theory interventions for health behavior change: Meta-analysis and meta-analytic structural equation modeling of randomized controlled trials..pdf,YES,NO,NA,NO,NA,NO,NO,3,
3,2023.0_When to stop medication in unipolar depression: A systematic review and a meta-analysis of randomized controlled trials.pdf,YES,NO,NA,NO,NA,NO,NO,3,
4,2023.0_Sexual Practice Changes Post-HIV Diagnosis Among Men Who Have Sex with Men in the United States: A Systematic Review and Meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
5,2019.0_Effect of workplace physical activity interventions on the cardio-metabolic health of working adults: systematic review and meta-analysis.pdf,NO,NA,NA,NA,NA,NA,NA,3,
6,2023.0_Characterizing the clinical profile of mania without major depressive episodes: a systematic review and meta-analysis of factors associated with unipolar mania.pdf,YES,YES,"md-BD on one or more sociodemographic or clinical characteris-tics. To be considered, studies had to include at least 10 indivi-duals in each group. We excluded studies (a) not providinginformation on UM, (b) without relevant md-BD controls, (c)involving individuals with >10% of non-BD diagnoses, such asschizoaffective disorders, (d) including samples with a mean age<18 years, (e) not providing sufficient data, and (f) being pub-lished before the release date of DSM-IV (American PsychiatricAssociation, 1994 ). We excluded also data deriving from the
same sample, to avoid duplicate results, and scientific reportsnot undergoing peer-review process, such as conference abstracts,
dissertations, and grey literature.
Search strategy and study selection
We searched Embase, Ovid MEDLINE, and APA PsycInfo data-
bases (via Ovid) for articles indexed up to July 2022, without lan-guage restrictions. The full search strategy is reported in onlineSupplementary File 1. We carried out an additional, post hoc,non-systematic search on Google Scholar to check whether add-itional studies were retrievable. We performed also a manualsearch of the reference lists of four relevant reviews (Angst,2015 ; Angst & Grobler, 2015 ; Dondé, Lepetit, & Lavigne, 2019 ;",NO,NA,NO,NO,1,
7,2021.0_A meta-analysis of the effects of mental contrasting with implementation intentions on goal attainment.pdf,NO,NA,NA,NA,NA,NA,NA,3,
8,2019.0_A meta-analytical review of the responses in the MMPI-2-MMPI-2-RF clinical and restructured scales of parents in child custody dispute.pdf,YES,NO,NA,NO,NA,NO,NO,3,
9,2019.0_Gender differences in loneliness across the lifespan: A metaanalysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
10,"2018.0_Sex differences in life history, behavior, and physiology along a slow-fast continuum: a meta-analysis.pdf",NO,NA,NA,NA,NA,NA,NA,3,
11,2021.0_A meta-analysis of the literature on climate change and migration.pdf,YES,NO,NA,NO,NA,NO,NO,3,
12,2019.0_A reliability generalization meta-analysis of the child and adolescent perfectionism scale.pdf,YES,NO,NA,NO,NA,NO,NO,3,
13,2022.0_Nonlinear relationship between work hours and job performance: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
14,2022.0_Comparison of different scoring methods based on latent variable models of the PHQ-9: an individual participant data meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
15,2022.0_The relationship between grandparenting and depression in eastern and western cultures: A meta-analysis.pdf,YES,NO,NA,NO,NA,NO,NO,3,
