Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
94,"G Mazzetti, E Robledo, M Vignoli, G Topa…","Work engagement: A meta-analysis using the job demands-resources model",2023,"Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/00332941211051988","https://scholar.google.com/scholar?cites=1423810680238931467&as_sdt=2005&sciodt=0,5&hl=en",55,"2023-07-31 18:46:22","","10.1177/00332941211051988","","",,,,,94,94.00,19,5,1,"… Hence, a second goal of the current meta-analysis was to explore the differences in the strength of the association between engagement, attitudinal variables, and health/performance …","https://www.wilmarschaufeli.nl/publications/Schaufeli/In%20press/Mazetti_PR.pdf","https://scholar.google.com/scholar?q=related:C34MH0VkwhMJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
59,"WR Ringwald, MK Forbes, AGC Wright","Meta-analysis of structural evidence for the Hierarchical Taxonomy of Psychopathology (HiTOP) model",2023,"Psychological medicine","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/metaanalysis-of-structural-evidence-for-the-hierarchical-taxonomy-of-psychopathology-hitop-model/E6A11956D6900DA3C4EBD5CC832EBAD6","https://scholar.google.com/scholar?cites=17238591559142422801&as_sdt=2005&sciodt=0,5&hl=en",194,"2023-07-31 18:46:22","","","","",,,,,59,59.00,20,3,1,"… This meta-analysis provides a quantitative synthesis of … on transdiagnostic dimensions, this meta-analysis provides a direct, … cific, meta-analytic parameter estimates. Finally, we aimed to …","https://psyarxiv.com/9xf8z/download?format=pdf","https://scholar.google.com/scholar?q=related:ETm7ZrDHO-8J:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
9,"H Daniali, M Martinussen, MA Flaten","A global meta-analysis of depression, anxiety, and stress before and during COVID-19.",2023,"Health Psychology","psycnet.apa.org","https://psycnet.apa.org/record/2023-47585-003","https://scholar.google.com/scholar?cites=17500794304292013713&as_sdt=2005&sciodt=0,5&hl=en",216,"2023-07-31 18:46:22","","","","",,,,,9,9.00,3,3,1,"… in this meta-analysis to see if the findings are replicated. … To the best of our knowledge, this is the first meta-analysis suggesting … in this meta-analysis were from the general population. …","https://www.researchgate.net/profile/Hojjat-Daniali/publication/368690873_A_Global_Meta-Analysis_of_Depression_Anxiety_and_Stress_Before_and_During_COVID-19/links/63f5d31e0d98a97717ab8e88/A-Global-Meta-Analysis-of-Depression-Anxiety-and-Stress-Before-and-During-COVID-19.pdf","https://scholar.google.com/scholar?q=related:kUaBUrJP3_IJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
5,"GJ Westerhof, AM Nehrkorn-Bailey, HY Tseng…","Longitudinal effects of subjective aging on health and longevity: An updated meta-analysis.",2023,"Psychology and …","psycnet.apa.org","https://psycnet.apa.org/record/2023-57851-001","https://scholar.google.com/scholar?cites=3714299031668961296&as_sdt=2005&sciodt=0,5&hl=en",247,"2023-07-31 18:46:22","","","","",,,,,5,5.00,1,4,1,"… in magnitude to the previous meta-analysis of 19 studies. Although … Based on this meta-analysis, building on five times more … more information in the current meta-analysis. A total of six …","","https://scholar.google.com/scholar?q=related:ELA0RErXizMJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
45,"S Mahmud, M Mohsin, MN Dewan, A Muyeed","… global prevalence of depression, anxiety, stress, and insomnia among general population during COVID-19 pandemic: A systematic review and meta-analysis",2023,"Trends in Psychology","Springer","https://link.springer.com/article/10.1007/s43076-021-00116-9","https://scholar.google.com/scholar?cites=4098649912929352426&as_sdt=2005&sciodt=0,5&hl=en",346,"2023-07-31 18:46:22","HTML","10.1007/s43076-021-00116-9","","",,,,,45,45.00,11,4,1,"… This meta-analysis investigated the mental health difficulties … A previous meta-analysis found a similar prevalence of … found in another systematic review and meta-analysis (Salari et al., …","https://link.springer.com/article/10.1007/s43076-021-00116-9","https://scholar.google.com/scholar?q=related:6vrWVmFU4TgJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
18,"P Cuijpers, P Franco, M Ciharova, C Miguel…","Psychological treatment of perinatal depression: a meta-analysis",2023,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/psychological-treatment-of-perinatal-depression-a-metaanalysis/D2D96225C00D4486D3B913A54F1A00F9","https://scholar.google.com/scholar?cites=10936006227920544622&as_sdt=2005&sciodt=0,5&hl=en",451,"2023-07-31 18:46:22","","","","",,,,,18,18.00,4,5,1,"… meta-analysis are in line with the results of previous meta-analyses, which mostly focused on subsamples of studies, and resulted in very uncertain outcomes. The current meta-analysis …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D2D96225C00D4486D3B913A54F1A00F9/S0033291721004529a.pdf/div-class-title-psychological-treatment-of-perinatal-depression-a-meta-analysis-div.pdf","https://scholar.google.com/scholar?q=related:buOpDLl_xJcJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
3,"CM Berry","A critical examination and meta-analysis of the distinction between the dominance and antiegalitarianism facets of social dominance orientation.",2023,"Journal of Personality and Social Psychology","psycnet.apa.org","https://psycnet.apa.org/journals/psp/124/2/413/","https://scholar.google.com/scholar?cites=10481312153198980011&as_sdt=2005&sciodt=0,5&hl=en",477,"2023-07-31 18:46:22","","","","",,,,,3,3.00,3,1,1,"… , the present study uses meta-analysis to leverage this burgeoning … The meta-analysis finds that SDO-D and SDO-E have a … The present meta-analysis also provides insights into the …","","https://scholar.google.com/scholar?q=related:q-to994ZdZEJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
6,"P Cuijpers, C Miguel, M Ciharova, D Ebert…","Transdiagnostic treatment of depression and anxiety: a meta-analysis",2023,"Psychological …","cambridge.org","https://www.cambridge.org/core/journals/psychological-medicine/article/transdiagnostic-treatment-of-depression-and-anxiety-a-metaanalysis/670F376EB8C1C41E5B41CC89360273C2","https://scholar.google.com/scholar?cites=15279859626472566994&as_sdt=2005&sciodt=0,5&hl=en",556,"2023-07-31 18:46:22","","","","",,,,,6,6.00,1,5,1,"… We used version 1 of this tool because this meta-analysis is included in the broader meta-analytic project of psychological treatments of depression, and therefore this meta-analysis …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/670F376EB8C1C41E5B41CC89360273C2/S0033291722003841a.pdf/transdiagnostic-treatment-of-depression-and-anxiety-a-meta-analysis.pdf","https://scholar.google.com/scholar?q=related:0vC6xV_3DNQJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
2,"W Dai, T Yang, BX White, R Palmer…","Priming behavior: A meta-analysis of the effects of behavioral and nonbehavioral primes on overt behavioral outcomes.",2023,"Psychological …","psycnet.apa.org","https://psycnet.apa.org/record/2023-53748-001","https://scholar.google.com/scholar?cites=10014676473425509395&as_sdt=2005&sciodt=0,5&hl=en",589,"2023-07-31 18:46:22","","","","",,,,,2,2.00,0,5,1,"… Past meta-analyses of the effects of priming on overt … Hence, we meta-analyzed 351 studies (224 reports and 862 … Public Significance Statement This meta-analysis revealed a moderate …","https://www.asc.upenn.edu/sites/default/files/2023-04/Dai%20and%20Albarracin%202023.pdf","https://scholar.google.com/scholar?q=related:Ezz9SjFH-4oJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
17,"M Hirnstein, J Stuebs, A Moè…","Sex/gender differences in verbal fluency and verbal-episodic memory: a meta-analysis",2023,"… on Psychological …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/17456916221082116","https://scholar.google.com/scholar?cites=16885673186379171409&as_sdt=2005&sciodt=0,5&hl=en",611,"2023-07-31 18:46:22","","10.1177/17456916221082116","","",,,,,17,17.00,4,4,1,"… However, the last meta-analysis on sex/gender differences in … meta-analytically, a comprehensive meta-analysis is lacking … participants, in the current meta-analysis, we found that …","https://journals.sagepub.com/doi/pdf/10.1177/17456916221082116","https://scholar.google.com/scholar?q=related:UQZ4g0z2VeoJ:scholar.google.com/&scioq=source:psychology%7Csource:psychological+intitle:meta+intitle:analysis%7Cintitle:metanalysis%7Cintitle:%22meta+analysis%22&hl=en&as_sdt=0,5&as_ylo=2018&as_yhi=2023&as_vis=1"
