file_name,publication bias,unpublished_data,gray_literature,funnel plot,trim and fill,egger,fail safe n,pet-peese,robma,year
2018.0_Subjective well-being and academic achievement: A meta-analysis.pdf,True,True,True,True,False,True,False,True,False,2018.0
2020.0_Self-determination theory interventions for health behavior change: Meta-analysis and meta-analytic structural equation modeling of randomized controlled trials..pdf,True,True,True,True,True,True,False,False,False,2020.0
2023.0_When to stop medication in unipolar depression: A systematic review and a meta-analysis of randomized controlled trials.pdf,False,False,False,False,False,False,False,False,False,2023.0
2023.0_Characterizing the clinical profile of mania without major depressive episodes: a systematic review and meta-analysis of factors associated with unipolar mania.pdf,True,True,True,False,True,True,False,False,False,2023.0
2019.0_A meta-analytical review of the responses in the MMPI-2-MMPI-2-RF clinical and restructured scales of parents in child custody dispute.pdf,False,True,True,False,False,False,False,False,False,2019.0
2019.0_Gender differences in loneliness across the lifespan: A metaanalysis.pdf,True,True,True,True,False,True,False,False,False,2019.0
2021.0_A meta-analysis of the literature on climate change and migration.pdf,True,True,True,False,False,False,False,False,False,2021.0
2019.0_A reliability generalization meta-analysis of the child and adolescent perfectionism scale.pdf,True,True,True,True,True,True,False,False,False,2019.0
2022.0_Nonlinear relationship between work hours and job performance: A meta-analysis.pdf,True,True,False,True,False,True,False,False,False,2022.0
2022.0_Comparison of different scoring methods based on latent variable models of the PHQ-9: an individual participant data meta-analysis.pdf,False,False,True,False,False,False,False,False,False,2022.0
2022.0_The relationship between grandparenting and depression in eastern and western cultures: A meta-analysis.pdf,True,True,True,True,False,True,True,False,False,2022.0
2022.0_A lifespan development perspective and meta?analysis on the relationship between age and organizational training.pdf,True,True,True,False,False,False,False,False,False,2022.0
2019.0_Meta-bias: A practical theory of motivated thinking.pdf,False,False,True,False,False,False,False,False,False,2019.0
"2019.0_Untangling intelligence, psychopathy, antisocial personality disorder, and conduct problems: a metaanalytic review.pdf",True,True,True,True,True,True,False,False,False,2019.0
2020.0_Reviewing the literature on flipped mathematics instruction: A qualitative metaÂanalysis.pdf,False,False,True,False,False,False,False,False,False,2020.0
2021.0_Is loneliness in emerging adults increasing over time? A preregistered cross-temporal meta-analysis and systematic review..pdf,True,True,True,False,False,False,False,False,False,2021.0
2023.0_Physical activity and cortisol regulation: A meta-analysis.pdf,True,True,True,True,False,True,False,True,False,2023.0
2020.0_Romantic attachment style and borderline personality pathology: A meta-analysis.pdf,True,True,True,True,False,False,False,False,False,2020.0
2021.0_Does the privacy paradox exist? Comment on Yu et al.'s (2020) meta-analysis.pdf,False,False,True,False,False,False,False,False,False,2021.0
2018.0_Efficacy of metacognitive therapy in improving mental health: A meta?analysis of single?case studies.pdf,True,True,True,True,True,True,False,False,False,2018.0
2021.0_Long-term outcomes of psychological treatment for posttraumatic stress disorder: a systematic review and meta-analysis.pdf,True,False,False,True,True,True,False,False,False,2021.0
2022.0_The relationship between adult attachment and mental health: A meta-analysis..pdf,True,True,True,True,False,True,False,False,False,2022.0
2018.0_Effects of Parent-implemented interventions on outcomes for children with developmental disabilities: a meta-analysis.pdf,True,True,True,False,True,True,False,False,False,2018.0
2018.0_The prevalence of depression in general hospital inpatients: a systematic review and meta-analysis of interview-based studies.pdf,True,False,False,True,False,True,False,False,False,2018.0
2022.0_Do growth mindset interventions impact students' academic achievement? A systematic review and meta-analysis with recommendations for best practices..pdf,True,True,True,True,True,True,False,True,False,2022.0
"2020.0_Servant leadership: A meta?analytic examination of incremental contribution, moderation, and mediation.pdf",True,True,True,True,False,True,False,False,False,2020.0
2021.0_What matters in citizen satisfaction with police: A meta-analysis.pdf,True,False,True,False,True,False,True,False,False,2021.0
2018.0_Taxing the brain to uncover lying? Meta-analyzing the effect of imposing cognitive load on the reaction-time costs of lying.pdf,True,True,True,True,False,False,False,False,False,2018.0
2020.0_What is the minimum number of effect sizes required in meta-regression? An estimation based on statistical power and estimation precision.pdf,False,False,True,False,False,False,False,False,False,2020.0
2020.0_Autistic spectrum disorder symptoms in children and adolescents with attention-deficit-hyperactivity disorder: a meta-analytical review.pdf,False,False,True,False,False,False,False,False,False,2020.0
2021.0_The predictive power of expressed emotion and its components in relapse of schizophrenia: a meta-analysis and meta-regression.pdf,True,False,True,True,False,True,False,False,False,2021.0
2020.0_Memory in autism spectrum disorder: A meta-analysis of experimental studies..pdf,True,False,True,False,False,True,False,False,False,2020.0
2022.0_Meta-analysis of digital-based learning to improve learning outcomes.pdf,True,True,True,True,False,False,True,False,False,2022.0
2020.0_A meta-analysis of linguistic markers of extraversion: Positive emotion and social process words.pdf,True,True,True,True,False,True,False,False,False,2020.0
2021.0_Effects of mindfulness-based interventions on self-compassion: A meta-analysis.pdf,True,True,True,True,False,True,True,False,False,2021.0
2022.0_Disrupted sleep and risk of depression in later life: A prospective cohort study with extended follow up and a systematic review and meta-analysis.pdf,True,False,True,True,False,False,False,False,False,2022.0
"2018.0_ activity interventions for treatment of social isolation, loneliness or low social support in older adults: A systematic review and meta-analysis of randomised controlled .pdf",True,True,True,False,True,True,False,False,False,2018.0
2023.0_Effects of action video game play on cognitive skills: A meta-analysis.pdf,True,True,True,True,False,True,False,True,False,2023.0
2020.0_p-Hacking and publication bias interact to distort meta-analytic effect size estimates..pdf,True,True,True,True,True,False,False,True,False,2020.0
2019.0_Considerations for power in meta-analysis.pdf,False,False,True,False,False,False,False,False,False,2019.0
2018.0_Parenting programs to reduce young Children's externalizing behavior: a meta-analytic review of their behavioral or cognitive orientation.pdf,True,False,True,True,False,True,False,False,False,2018.0
2022.0_Risk-thresholds for the association between frequency of cannabis use and the development of psychosis: a systematic review and meta-analysis.pdf,True,False,True,True,False,True,False,False,False,2022.0
2019.0_REGEMA: guidelines for conducting and reporting reliability generalization meta-analyses.pdf,False,False,False,False,False,False,False,False,False,2019.0
2021.0_A new approach to social entrepreneurship: A systematic review and meta-analysis.pdf,False,False,True,False,False,False,False,False,False,2021.0
2020.0_Acceptance and commitment therapy (ACT) to reduce depression: A systematic review and meta-analysis.pdf,True,True,True,True,False,False,False,False,False,2020.0
2020.0_The effectiveness of cognitive and meta-cognitive skills training on Academic procrastination and Psychological well-being in students.pdf,False,False,False,False,False,False,False,False,False,2020.0
2020.0_Dropout rates in clinical trials of smartphone apps for depressive symptoms: a systematic review and meta-analysis.pdf,True,False,True,False,True,True,False,False,False,2020.0
2019.0_Teacher attitudes towards inclusive education: a meta-analysis.pdf,True,False,False,False,True,False,False,False,False,2019.0
2022.0_Meta-analysis of cognitive functioning in ADHD: An fMRI investigation.pdf,True,False,True,False,False,False,False,False,False,2022.0
2022.0_Structural and functional neuroimaging of late-life depression: a coordinate-based meta-analysis.pdf,True,False,True,False,False,False,False,False,False,2022.0
2018.0_Research Review: Harnessing the power of individual participant data in a meta?analysis of the benefits and harms of the Incredible Years parenting program.pdf,True,True,True,False,False,False,False,False,False,2018.0
2020.0_Average impact and important features of onboard eco-driving feedback: A meta-analysis.pdf,False,False,True,False,False,False,False,False,False,2020.0
2022.0_Personality and intelligence: A meta-analysis..pdf,True,True,True,True,True,False,False,False,False,2022.0
2021.0_The psychological impact of COVID-19 pandemic lockdowns: a review and meta-analysis of longitudinal studies and natural experiments.pdf,True,True,True,True,False,False,True,False,False,2021.0
2020.0_A meta-analysis of parental multidimensional perfectionism and child psychological outcomes.pdf,True,True,True,True,False,True,False,False,False,2020.0
"2018.0_Â activity interventions for treatment of social isolation, loneliness or low social support in older adults: A systematic review and meta-analysis of randomised controlled Â.pdf",True,True,True,False,True,True,False,False,False,2018.0
